Year,Region,Precipitation
2019,Antarctica,110
2019,Australia,440
2019,Asia,650
2019,Africa,740
2019,Europe,820
2019,North America,800
2019,South America,1600
2009,Antarctica,108
2009,Australia,435
2009,Asia,643
2009,Africa,732
2009,Europe,814
2009,North America,795
2009,South America,1589
1999,Antarctica,100
1999,Australia,430
1999,Asia,634
1999,Africa,725
1999,Europe,810
1999,North America,788
1999,South America,1586
1989,Antarctica,99
1989,Australia,428
1989,Asia,632
1989,Africa,718
1989,Europe,807
1989,North America,779
1989,South America,1582
1979,Antarctica,108
1979,Australia,437
1979,Asia,648
1979,Africa,737
1979,Europe,818
1979,North America,798
1979,South America,1598
